text;label
выявление и устранение ошибок сайта;0
организация работы по подготовке встреч и совещаний проводимых с участием главных редакторов ;0
по поручению главных редакторов составление писем запросов служебных записок справок авансовых отчетов и других документов;1
подготовка мониторингов оперативной и обязательной отчетности;1
транспортное обеспечение подразделения ;0
решение организационных вопросов при подготовке к съемкам;0
курирование договоров по направлению деятельности подразделения ;0
соблюдение параметров бюджета подразделения;0
установление и поддержка контакта с внешней средой ;0
взаимодействие со специалистами общества по вопросам в пределах своей компетенции;0
отбор для эфира подготовленных сюжетов;0
написание и редактирование текстов;0
редактирование и выпуск новостных программ в течении дня;0
уверенное знание редполитики агентства;0
написание информационных и коммерческих текстов в соответствии с тз и tov клиента для проектов компании;0
оперативное внесение правок в тексты от редактора;0
погружение в тему проекта изучение сайта заказчика задач и целей конкретного текста релевантных примеров;0
четкая ориентированность на результат для клиента понимание его основных целей;0
строгое соблюдение дедлайнов;0
осуществление руководства отделом отраслевых мероприятий;0
подготовка к проведению мероприятий ;0
расшифровка согласование текстов и видео съемки после интернетконференции выставление информации на сайт;0
информационное администрирование сайта тюменьмедиа;0
составление отчетности квартальный отчет по прессконференциям квартальный отчет по семинарам;1
внутренняя отделка помещений;0
штукатурно молярные работы;0
установка дверей;0
монтаж ламината;0
работа на высоте;0
окраска металлоконструкций и трубопроводов;0
вахта выплата заработной платы раза в месяц на карту любого банка зп ученика рмес маляр до рмес в зависимости от разряда и опыта предприятие предоставляет питание проживание спецодежду проезд прямой работодатель;0
нанесение знаков и надписей на вагонцистерны контейнерцистерны;0
проверка наличия табличек надписей на вагонцистернах и контейнерцистернах и при необходимости их обновление;0
покраска зданий оборудования сооружений;0
подготовка оборудования к работе выполнение работ ;0
выполнение работ по обеспыливаниюобезжириванию и окраскенанесению защитных покрытий на металлические поверхности;0
выполнение малярных работ;0
очистка с помощью пескоструйного аппарата поверхности строительных конструкций емкостей резервуаров и оборудования;0
своевременное и качественное выполнение производственных заданий;0
содержание оборудования для пескоструйной обработки в исправном состоянии;0
соблюдать трудовую дисциплину;0
соблюдать меры по безопасности труда поддерживания порядка выполнение правил пожарной безопасности на рабочем месте;0
подготовка к окраске с применением шлифинструмента;0
нанесение эмали на грунтованную поверхность;0
безвоздушная покраска краскопультом;0
качественное выполнение поставленных задач;0
поддержание чистоты на рабочем месте;0
своевременное выполнение;0
производить покраску деталей автомобиля;0
абразивная полировка;0
соблюдение технологического процесса;0
подготовка продукции к покраске;0
покраска мк комплектующих входных групп;0
производить подготовку деталей автомобиля к покраске;0
абразивная полировка;0
соблюдение технологического процесса;0
периодический осмотр технического состояния обслуживаемых зданий сооружений;0
текущий ремонт с выполнением врех видов ремонтностроительных работ ;0
сезонная подготовка обслуживаемых зданий сооружений оборудования и механизмов;0
устранение повреждений и неисправностей по заявкам;0
работа на участке акз;0
пескоструйная очистка и окраска металлоконструкций;0
работа с пескоструйным оборудованием и покрасочным аппаратом;0
окраска изделий из металла;0
окрашивание деталей и поверхностей металлоконструкций электростатическими краскораспылителями;0
нанесение надписей по трафаретам;0
нанесение цифр и букв без трафаретов;0
обработка поверхностей замедлителями коррозии;0
регулирование подачи воздуха и краски в распылители;0
очистка замкнутых объемов ;0
защита грунтовками листового материала и профильного проката для металлоконструкций;0
изготовление несложных трафаретов;0
составление смесей из нитрокрасок и синтетических эмалей;0
наладка механизмов и приспособлений применяемых в производстве малярных работ;0
пескоструйная очистка обезжиривание обеспыливание поверхности металлоконструкций;0
обработка мк модификатором ржавчины;0
огрунтовка и покраска мк;0
разборка зачистка шпаклевка грунтовка окраска стен окраска поверхности потолка окраска деревянных конструкций ограждения подшивки лестничных маршей и площадок;0
снятие наклейка обоев с последующей их покраской ;0
демонтаж монтаж потолочных листов гквл с зачисткой шпаклевкой грунтовкой и окраской;0
подготовка с дальнейшей окраской межкомнатных дверей;0
пескоструйная очистка обезжиривание обеспыливание поверхности металлоконструкций;0
обработка мк модификатором ржавчины;0
огрунтовка и покраска мк;0
разборка зачистка шпаклевка грунтовка окраска стен окраска поверхности потолка окраска деревянных конструкций ограждения подшивки лестничных маршей и площадок;0
снятие наклейка обоев с последующей их покраской ;0
демонтаж монтаж потолочных листов гквл с зачисткой шпаклевкой грунтовкой и окраской;0
подготовка с дальнейшей окраской межкомнатных дверей;0
покраска мк и труб;0
нанесение антикоррозийной защиты ;0
работа в помещении и на открытой площадке;0
гибка деталей из листового металла;0
выполнение лакокрасочных работ методом воздушного распыления;0
составление смеси из красок;0
выполнение грунтования антикоррозийного покрытия грунтовками и красками изделий;0
нанесение знаков и надписей по трафаретам;0
нанесение антисептических пропиток на заготовки из дерева;0
регулировка подачи воздуха и краски в распылители;0
подбор колера по заданным образцам;0
окрашивание поверхностей в труднодоступных местах вручную;0
пескоструйная очистка обезжиривание обеспыливание поверхности металлоконструкций;0
обработка мк модификатором ржавчины;0
огрунтовка и покраска мк;0
разборка зачистка шпаклевка грунтовка окраска стен окраска поверхности потолка окраска деревянных конструкций ограждения подшивки лестничных маршей и площадок;0
снятие наклейка обоев с последующей их покраской ;0
демонтаж монтаж потолочных листов гквл с зачисткой шпаклевкой грунтовкой и окраской;0
подготовка с дальнейшей окраской межкомнатных дверей;0
покраска изделий из металла;0
выполнение лакокрасочных работ методом воздушного распыления;0
составление смеси из красок;0
выполнение грунтования антикоррозийного покрытия грунтовками и красками изделий;0
нанесение знаков и надписей по трафаретам;0
нанесение антисептических пропиток на заготовки из дерева;0
регулировка подачи воздуха и краски в распылители;0
подбор колера по заданным образцам;0
окрашивание поверхностей в труднодоступных местах вручную;0
высококачественное окрашивание поверхностей сухими порошками различными красками и лаками в несколько тонов и отделка поверхностей с шлифованием лакированием и полированием;0
торцевание и флайцевание окрашенных поверхностей;0
окрашивание после грунтования поверхностей методом холодного безвоздушного распыления;0
определение качества применяемых лакокрасочных материалов;0
наладка механизмов применяемых в производстве малярных работ;0
финансовое планирование формирование бдпс годовых и месячных на основе данных pl внутренних сводных заявок оборотных ведомостей;0
формирование оборотного капитала лимитов дебиторской и кредиторской задолженности составление прогноза оборачиваемости задолженности анализ и контроль фактического выполнения показателей;0
анализ закупочной документации договоров на предмет наличия кредитного риска осуществления документарных операций соблюдения требований лнд ведение аналитической информации и контроль своевременного исполнения обязательств по данным сделкам;0
полный цикл сопровождения документарных операций ;1
разработка лнд в области финансов ;0
работа с банком;0
первичная документация;1
движение денежных средств осужденных;0
развитие продаж платежных сервисов;0
организация работы по привлечению и обслуживанию клиентов;0
осуществление стажировки подбора адаптации введение в должность и вывод на выполнение поставленных целей и задач новых сотрудников;0
осуществление руководства и контроля за работой сотрудников в рамках определенной территории;0
постановка задач мотивация обучение промежуточный и финальный контроль с целью выполнения целей сотрудниками в рамках определенной территории;0
выполнение личного плана продаж;0
казначейство ;0
составление бддс ;0
составление платежных календарей;1
анализ финансовохозяйственной деятельности;1
расчет финансовых показателей;1
работа с лизинговыми компаниями;0
финансирование инвестиционных проектов;0
контроль за дебиторской и кредиторской задолженности;0
работа с банками подготовка заявок на финансирование обработка данных по запросу ;0
формирование отчетности для банка в рамках проектного финансирования ежемесячно ежеквартально;1
формирование реестра платежей в рамках проектного финансирования;0
формирование реестра выполненных работ в рамках проектного финансирования;0
работа с клиент банком ;0
осуществлять оперативную поддержку пользователей локальной корпоративной сети сети корпоративной связи сети передачи данных систем видеонаблюдения;0
настройка работы и техническое обслуживание оборудования поддержка доменной инфрастуктуры activedirectory ms windows server ;0
работа с сетевым оборудованием mikrotik cisco;0
оперативное руководство погрузочноразгрузочными операциями;0
контроль хода выполнения погрузочноразгрузочных работ предпринимать меры по предупреждению и устранению нарушений;0
контроль за соблюдением сотрудниками правил от и тб;1
контроль за соблюдением сотрудниками правил производственной и трудовой дисциплины;1
оформление первичных документов по учету рабочего времени;1
сортировка продукции;0
укладка и пересечение продукции;0
 отвечать на телефонные звонки фиксировать и передавать служебную информацию руководителю и сотрудникам компании обеспечение документооборота компании входящая и исходящая корреспонденция регистрация учет хранение архивирование документов подготовка проектов писем запросов и других документов касающихся деятельности компании подготовка совещаний и заседаний проводимых руководителем организация командировок сотрудников заказывать авиа и железнодорожные билеты бронировать гостиницы обеспечение офиса канцтоварами расходными материалами и иными товарноматериальными ценностями необходимыми для работы офиса контроль за надлежащим состоянием офисного оборудования коммуникаций при выявлении неисправностей офисной оргтехники и иного оборудования вызов специалистов для проведения ремонтных работ и иных видов технического обслуживания исполнение поручений руководителя;1
штамповка деталей и изделий из металла;0
работа на прессах;0
с любовью встречать всех наших гостей;0
отвечать на звонки и вести записи;1
обеспечение выкладки товара в магазинах согласно стандартам компании и планограмме сети;0
ротация продукции;0
отслеживание корректности ценников;0
увеличение полочного пространства;0
составление заказа;1
экспедирование груза;0
обеспечение сохранности груза в процессе доставки;0
содержание транспортного средства в технически исправном состоянии;0
соблюдение правил перевозки грузов;0
перегон и расстановка автомобилей по территории автосалона;0
предпродажная подготовка ;0
следить за внешним видом выставленных в шоуруме автомобилей;0
сотрудничество с сервисами по ремонту и с мойкой;0
дополнительные поручения руководителя;0
коммуникация с отделом продаж;0
детейлинг мойка кузова автомобиля ;0
профессиональная полировка кузова колесных дисков декоративных вставок в салоне автомобиля;0
профессиональная химчистка салона автомобиля;0
профессиональная детейлинг уборка салона;0
деликатная чистка кожи;0
нанесение профессиональных защитных составов на элементы экстерьера и интерьера автомобиля;0
подготовка автомобиля к выдаче;0
мойка авто ;0
входной контроль исполнительной документации подрядчиков;1
ведение реестров исполнительной и рабочей документации;1
подготовка документов для электронного документооборота и формирование электронного архива;1
организация хранения и обеспечение сохранности документов поступивших в архив;1
погрузка песка погрузчиком;0
выполнение разных работ;0
выполнение подготовительных работ к покраске автомобиля ;0
развитие сети вендингового оборудования на вверенной территории;0
аудит анализ развитие территории;0
ведение переговоров с ключевыми клиентами;0
работа с документами;1
ведение отчетной документации;1
организует производство строительномонтажных работ в соответствии с проектной документацией строительными нормами и правилами техническими условиями и другими нормативными документами;0
обеспечивает выполнение производственных заданий по вводу объектов в эксплуатацию в установленные сроки;0
обеспечивает выполнение строительностроительномонтажных и пусконаладочных работ по всем показателям с соблюдением проектов производства работ;0
ведет учет выполненных работ;1
работа с готовой базой клиентов;1
теплые и холодные звонки;1
проведение коммерческих переговоров с потенциальными покупателями;0
выезды к потенциальным и существующим потребителям для переговоров и проведения испытаний предлагаемой продукции для решения претензионных споров;0
прием и обработка заказов оформление необходимых документов;1
контроль дебиторской задолженности;1
контроль по заключенным договорам;1
ведение отчетности;1
участие в обеспечении выполнения личного плана продаж и всего отдела;0
участие в проведении выставочных мероприятиях;0
грамотность быстрота написания текстов;1
наличие опубликованных текстов или портфолио;0
работа с базами данных в том числе и с геоданными формирование структуры пространственных баз данных оцифровка объектов правка геометрии и атрибутики данных;1
создание наполнение и публикация картографических сервисов на гиссервере;1
создание и оформление картографических материалов;1
оцифровка картографической информации в тч по материалам дзз;0
креативное оформление наружной рекламы ;0
подготовка технических заданий для производства;0
сортировка древесины и подачи его в станок;0
полуавтоматическая сварка металлоконструкций;0
чтение чертежей различной сложности собираемых узлов ;0
сборка и сварка простых и средней сложности узлов металлоконструкций по чертежам;0
составление дду дупт дкп дополнительных соглашений актов приемапередачи;0
сопровождение их заключения и контроль исполнения;0
взаимодействие с банками с органами и должностными лицами участвующими в;0
оформлении сделок с недвижимостью и сопутствующих процедур;0
консультация клиентов по телефону и в офисе продаж по всем вопросам связанным с;1
заключением и исполнением договоров а также с оформлением сделок с недвижимостью;1
сбор информации документов для подготовки договоров дду дупт дкп дополнительных соглашений актов приемапередачи;1
обеспечение государственной регистрации прав на недвижимое имущество и сделок с ним;0
работа с сервисами электронной регистрации сделок с недвижимостью;1
 коммуникация с клиентами о порядке проведения электронной регистрации сделки;0
 подготовка пакета документов для направления заявки на электронную регистрацию;0
формирование заявления выпуск усиленной квалификационной электронной подписи;0
изготовление гибочных изделий из тонколистового металла для кровли и фасада на гибочном станке;0
выполнение погрузоразгрузочных работ сопутствующих материалов и готовых изделий;0
перевозка людей;0
приготовление напитков по ттк;0
проведение инвентаризаций;0
соблюдение чистоты на рабочем месте;0
прием звонков;1
ведение клиентской базы;1
проведение праздничных мероприятий;0
расчетный счет касса работа с кассовым аппаратом;0
авансовые отчеты;1
материалы основные средства проведение инвентаризации;0
расчеты с поставщиками и покупателями;0
сверка с контрагентами;0
архивирование сканирование документов;1
работа в программах с бп зуп контурэкстерн мобильный банк;0
прочие поручения главного бухгалтера;0
раскрой изделий по лекалам;0
подготовка изделий и кроя к вышивке;0
обработка вышивки и вырезание нашивок;0
дублирование утюжка упаковка готовых изделий;0
изготовлениестачивание готовых текстильных изделий;0
вышивка по ткани на промышленном оборудовании на автоматических вышивальных машинах;0
ведение кадрового делопроизводства;1
формирование личных дел сотрудников внесение изменений в документы связанные с трудовой деятельностью;1
подготовка документов для приема сотрудников;1
ведение табеля учета рабочего времени на сотрудников подразделения;1
составление графика отпусков и контроль его соблюдения;1
учет неявок сотрудников больничных листов;1
частичный поиск и подбор рабочего персонала на вахту;0
контроль за состоянием трудовой дисциплины в подразделении и соблюдением сотрудниками пвтр;1
работа в программе с зуп;0
проведение сухой и влажной уборки;0
вынос мусора;0
заполнение путевых листов на грузовые автомобили;0
списание гсм;0
ведение первичной документации;1
выполнение других функций на период отсутствия главного бухгалтера;0
мытье фасадов зданий;0
обрезка деревьев;0
демонтажные и погрузоразгрузочные работы;0
заправка тс топливом смазочными материалами;0
строгое соблюдение требований безопасности и скоростного режима;0
мелкий ремонт тс;0
техническое обслуживание тс;0
оформление путевых листов;1
выдача списание контроль гсм;0
составление отчетов;1
прием пациентов как дежурный врач ;0
ведение пациентов дневного стационара ;0
осмотр пациентов перед постановкой капельниц;0
контроль работы медсестер;0
поддержание режима;0
постановка капельниц;0
наполнение каталогов продукции ;1
посещение торговых точек по маршруту;0
выкладка товара по стандартам;0
размещение ценников рекламных материалов дмп;0
планирование и маршрутизация доставки продукции;1
распределение заказов между водителями с учетом количества упаковок и расположения торговый точек;1
печать на цифоровом принтере xerox;0
предпечатная и постпечатная подготовка;0
резка бумаги визиток листовок;0
настройка оборудования;0
резка на лазере;0
встреча сотрудников компании в хостеле в гтюмень заселение в хостел;0
формирование списков сотрудников планируемых на заезд коммуникация с сотрудниками по заезду;1
координирование сотрудников в аэропорту на выезд на строительные объекты;0
передача информации в центральный офис;1
координация сотрудников при прохождении медицинской комиссии;1
ведение бухгалтерского и налогового учета;1
составление и сдача отчетов в ифнс фсс пфр;1
контроль над финансовохозяйственной деятельности предприятия;1
оформление и учет первичной бухгалтерской документации;1
на выписку расходных накладных при отгрузке продукции;0
встреча клиента;0
презентация товара;0
предпродажная подготовка товара;0
консультирование по стилю подбор аксессуаров;0
продажа товара;0
поддержка порядка и чистоты в торговом зале;0
прием и раскладка товара согласно программе;0
ведение переписки в мессенджерах и соцсетях прием входящих звонков встреча пациентов чуткая коммуникация с ними;1
контроль порядка уюта в клинике соблюдение высоких стандартов сервиса;0
работа с кассой;0
грамотное консультирование пациентов по услугам клиники и запись на процедуры к докторам исходящий обзвон записанных пациентов;1
активные продажи косметики бадов и прочей продукции представленной в клинике;0
инвентаризации заказ расходников;0
командная работа на результат c врачами и косметологами;0
составление отчетностей в конце каждой смены;1
ведение электронной и бумажной документации ;1
готовность к постоянному росту изучению большого количества новой информации о врачебной косметологии косметики и эстетической медицине;0
осуществление организации контроль и анализ работы аптеки;1
прием хранение и реализация медикаментов предметов санитарии гигиены и парафармацевтической продукции;0
контроль за соблюдением всех приказов инструкций положений мз рф регламентирующих фармацевтическую деятельность и санитарный режим;0
соблюдение режима аптеки;0
обеспечение необходимого ассортимента товаров;0
контроль товарных запасов;0
контроль розничных цен;0
контроль за сроками реализации товаров;0
обучение персонала работе с документацией регламентирующей фармацевтическую деятельность и кассовую дисциплину;1
проведение плановой инвентаризации товарных запасов осуществление контроля за наличием документации;0
карточка регистрации ккм;0
своевременное и правильное оформление первичной документации;1
оформление табеля учета рабочего времени;1
осуществление контроля за товарами с ограниченным сроком годности;0
управление трактором к применяемым при транспортировке строительных материалов на строительные объекты;0
контроль за погрузкой креплением и разгрузкой транспортных средств;0
размещать информацию о вакансиях;1
заниматься активным поиском достойных кандидатов;0
проводить телефонные интервью ;0
размещать информацию на корпоративном сайте;0
вести необходимую отчетность;1
проверка правильности сборки со снятием эксплуатационных диаграмм и характеристик;0
устранение дефектов обнаруженных при сборке и испытании узлов и механизмов различной сложности;0
испытание узлов и механизмов механической части оборудования на стендах и прессах гидравлического давления;0
сборка узлов и механизмов различной сложности в соответствии с картой технологического процесса;0
размерная обработка и пригонка деталей при помощи типовых приспособлений оснастки и оборудования;0
замеры геометрических параметров обработанной детали;0
подгонка натягов и зазоров центрирование монтируемых деталей узлов и агрегатов;0
поиск клиентов под имеющуюся технику компании ;0
выполнение плана;0
организация по перевозке нефтепродуктов транспортом компании;0
ведение отчетностизаключение договоровдокументооборот;1
подбор заказчиков через ati;0
поиск грузов для лично транспорта по рф;0
согласование тарифов с контрагентами расчет стоимости и рентабельности перевозок;0
уборка общежитий бани су прачечные административные помещения;0
убирать помещения коридоры лестницы прилегающую территориюудалять пыль с мебели ковровых изделий подметать и мыть вручную или с помощью машин и приспособлений стены полы лестницы окна и тдсобирать и транспортировать мусор и отходы в установленное место расставлять урны для мусора очищать и дезинфицировать ихчистить и дезинфицировать санузлы душевые гардеробные и другие места общего пользования раза в месяц проводить генеральную уборку сушильных помещений освобождая их от оставленных и ненужных вещейполучать моющие средства инвентарь и обтирочный материал соблюдать график периодичности уборкисоблюдать правила санитарии и гигиены в убираемых местах обеспечивать соблюдение чистоты и порядка на своем рабочем месте ;0
активный поиск и привлечение клиентов к сотрудничеству ;0
обработка заявок ;1
составление коммерческих предложений выставление счетов и заключение договоров;1
первичная проверка коммерческой надежности потенциального клиента;1
ежедневные продажи нефтепродуктов оптом ;0
организация и контроль отгрузок до подписания документов с ух сторон;0
ведение отчетности по продажам и отгрузкам клиентам компании;1
организация проведения инструктажей обучения и проверки знаний по охране труда;0
оформление и выдача протоколов по охране труда;1
составление списков профессий и должностей в соответствии с которыми работники должны проходить обязательные предварительные или периодические медицинские осмотры;0
составление списков профессий и должностей в соответствии с которыми работники должны проходить обязательные психиатрические обследования;0
осуществление контроля за состоянием условий труда на рабочем месте;0
организация специальной оценки условий труда контроль за ее проведением;0
организация расследования несчастных случаев на производстве ;0
обеспечение работников нормативными документами правилами типовыми инструкциями;1
составление отчетности по охране труда в органы исполнительной власти государственной статистической отчетности в области охраны труда;1
контроль над обеспечением выдачей средств индивидуальной защиты в соответствии с нормами;0
ежемесячный мониторинг подразделений с целью контроля за соблюдением требований от;1
составление ежемесячной внутренней отчетности;1
разработка интерфейса вебредактора презентаций;0
доработка имеющегося функционала системы;0
разработка нового функционала развитие системы по требованиям от бизнеса;0
участие в разработке архитектуры систем;0
обсуждения технических решений бизнесзадач;0
